slide_id,case_id,file_id,sample_type_code,tissue_slide_id,filename,file_size
TCGA-CN-4735-01Z-00-DX1,TCGA-CN-4735,b14a6af0-b2ca-409a-9ca6-b9c85298fd89,01Z,DX1,TCGA-CN-4735-01Z-00-DX1.b7d37666-bd65-4d3b-826b-97e560444956.svs,556652721
TCGA-CN-4736-01Z-00-DX1,TCGA-CN-4736,ed294afc-36aa-4999-b4a1-88c44579c519,01Z,DX1,TCGA-CN-4736-01Z-00-DX1.883fda2c-82bd-46c1-b220-b9961d8700cc.svs,162261255
TCGA-CN-4737-01Z-00-DX1,TCGA-CN-4737,a9b6e00f-fd33-4c95-a776-df5859fce7e8,01Z,DX1,TCGA-CN-4737-01Z-00-DX1.15951662-62c1-49e1-94ea-1f4ebad55507.svs,566122229
TCGA-CN-4738-01Z-00-DX1,TCGA-CN-4738,169415b2-3fe8-4c06-ba6e-5052ab1ad57d,01Z,DX1,TCGA-CN-4738-01Z-00-DX1.9c456d54-0bde-4f04-ba53-17c09e692491.svs,329688715
TCGA-CN-4739-01Z-00-DX1,TCGA-CN-4739,cf3afae9-4706-4c74-95be-369dd6663b71,01Z,DX1,TCGA-CN-4739-01Z-00-DX1.e50266c3-606e-4103-a029-021246d4d1df.svs,992084689
TCGA-CN-4740-01Z-00-DX1,TCGA-CN-4740,7909d1a8-fe80-4ead-b78f-8d203b8f55bb,01Z,DX1,TCGA-CN-4740-01Z-00-DX1.f7b9f5ec-cb4e-4604-9d64-2bdc20ac5bec.svs,353438851
TCGA-CN-4741-01Z-00-DX1,TCGA-CN-4741,1a6ffdf0-7ca5-427e-9982-87c05248aca5,01Z,DX1,TCGA-CN-4741-01Z-00-DX1.6adfce37-b5b0-44ff-834e-85059eec24c0.svs,436419321
TCGA-CN-4742-01Z-00-DX1,TCGA-CN-4742,7f301ec5-dfe1-482d-bfab-a39cde8785c0,01Z,DX1,TCGA-CN-4742-01Z-00-DX1.d03eaeac-cc05-4b13-962e-d4d10617d692.svs,864629719
TCGA-CN-5355-01Z-00-DX1,TCGA-CN-5355,3372f0c9-215d-433e-95eb-bf2e88808a21,01Z,DX1,TCGA-CN-5355-01Z-00-DX1.8fb23e44-fc59-4191-b825-cc021807a338.svs,150983359
TCGA-CN-5356-01Z-00-DX1,TCGA-CN-5356,2e1538cf-a872-407a-a6e2-838b00fa9213,01Z,DX1,TCGA-CN-5356-01Z-00-DX1.53360c41-d0d2-465e-8b53-ccd1a2ce248f.svs,224851179
TCGA-CN-5358-01Z-00-DX1,TCGA-CN-5358,d014eb5d-3de2-4f56-b794-fe8229c4dd9b,01Z,DX1,TCGA-CN-5358-01Z-00-DX1.6554cdc1-7d01-4310-a60a-79b8ed7a8679.svs,1051704625
TCGA-CN-5359-01Z-00-DX1,TCGA-CN-5359,166c36d4-d521-4f06-ac0b-361926405c13,01Z,DX1,TCGA-CN-5359-01Z-00-DX1.30a19cad-c2b0-4c5f-bd5d-89aa8ac2bb91.svs,536366391
